city,latitude,longitude
"  new york  ",40.7128,-74.0060
"london   ",51.5074,-0.1278
"  TOKYO",35.6762,139.6503
"sao paulo!",-23.5505,-46.6333
"  Paris   ",48.8566,2.3522
"mumbai  ",19.0760,72.8777
"beijing*",39.9042,116.4074
"Sydney  ",-33.8688,151.2093
"  mexico city ",19.4326,-99.1332
"Cairo#",30.0444,31.2357
"  Nairobi  ",-1.2864,36.8172
"Riyadh ",-24.7136,46.6753
"  berlin  ",52.52,13.405
"Johannesburg   ",-26.2041,28.0473
"Seoul!",37.5665,126.9780
"  bangkok  ",13.7563,100.5018
"rome  ",41.9028,12.4964
"  Toronto ",43.6532,-79.3832
"  dubai  ",25.2048,55.2708
"  Buenos Aires  ",-34.6037,-58.3816
"  Istanbul  ",41.0082,28.9784
"  moscow  ",55.7558,37.6173
"  Kuala Lumpur ",3.1390,101.6869
